<<MagicLearning[Model:defaultModel]>>;EN;ES;FR;
'Parménide';0.0;0.0;0.0;
'Timée;0.0;0.0;0.0;
'sea';0.0;0.0;0.0;
'son'.;0.0;0.0;0.0;
'the;0.0;0.0;0.0;
((διάνοια;0.0;0.0;0.0;
((νόησις;0.0;0.0;0.0;
((πίστις;0.0;0.0;0.0;
(*);1.0;0.0;-1.0;
(-372)40.;0.0;0.0;0.0;
(...);0.0;0.0;0.0;
(/ˈpleɪtoʊ/;0.0;0.0;0.0;
(1);0.0;0.0;0.0;
(142c-143b);0.0;0.0;0.0;
(143c).;0.0;0.0;0.0;
(1509–1511);0.0;0.0;0.0;
(16c);0.0;0.0;0.0;
(1886).;0.0;0.0;0.0;
(1927);0.0;0.0;0.0;
(1929);0.0;1.0;-1.0;
(1945);0.0;0.0;0.0;
(1988c;0.0;0.0;0.0;
(1988d;0.0;0.0;0.0;
(19b;0.0;0.0;0.0;
(2);0.0;0.0;0.0;
(209;0.0;0.0;0.0;
(210d);0.0;0.0;0.0;
(265a–c);0.0;0.0;0.0;
(276;0.0;0.0;0.0;
(2a–b);0.0;0.0;0.0;
(3);0.0;0.0;0.0;
(31;0.0;0.0;0.0;
(33d-34a).;0.0;0.0;0.0;
(341;0.0;0.0;0.0;
(341c);0.0;0.0;0.0;
(341c).;0.0;0.0;0.0;
(344;0.0;0.0;0.0;
(370-345):;0.0;0.0;0.0;
(38b).;0.0;0.0;0.0;
(390-385);-1.0;0.0;1.0;
(399-385);0.0;0.0;0.0;
(399-390);0.0;0.0;0.0;
(404–403;0.0;0.0;0.0;
(428/427);0.0;0.0;0.0;
(521e–522a).;0.0;0.0;0.0;
(5451);-0.33333334;0.33333334;0.0;
(7.517e);0.0;0.0;0.0;
(94e–95a);0.0;0.0;0.0;
(987;0.0;0.0;0.0;
(988;0.0;0.0;0.0;
(Alfred;0.0;0.0;0.0;
(Anselm;0.0;0.0;0.0;
(Chora);0.0;0.0;0.0;
(Codex;0.0;0.0;0.0;
(Commentaires;0.0;0.0;0.0;
(Cooper;0.0;0.0;0.0;
(Défaut).;0.0;0.0;0.0;
(Excès);0.0;0.0;0.0;
(Filósofos-Guardianes-Trabajadores).;0.0;0.0;0.0;
(Greater);0.0;0.0;0.0;
(Greek;0.0;0.0;0.0;
(Greek:;0.0;0.0;0.0;
(Henri;0.0;0.0;0.0;
(Ideas);0.0;0.0;0.0;
(Jean;0.0;0.0;0.0;
(La;0.0;0.0;0.0;
(Lesser);0.0;0.0;0.0;
(Livre;0.0;0.0;0.0;
(Logizesthai)89;0.0;0.0;0.0;
(Lysis;0.0;0.0;0.0;
(Meno;0.0;0.0;0.0;
(Metaphysics;0.0;0.0;0.0;
(Metrêtikê;0.0;0.0;0.0;
(Monarquía);0.0;0.0;0.0;
(Parmenides);0.0;0.0;0.0;
(Phaedo;0.0;0.0;0.0;
(Phaedrus;0.0;0.0;0.0;
(Plato;0.0;0.0;0.0;
(Plato);0.0;0.0;0.0;
(Platon);0.0;0.0;0.0;
(Platon).;0.0;0.0;0.0;
(Platonem;0.0;0.0;0.0;
(Platón);0.0;1.0;-1.0;
(Plotin);0.0;0.0;0.0;
(Político;0.0;0.0;0.0;
(Présentation);0.0;0.0;0.0;
(Présentation)[modifier;0.0;0.0;0.0;
(Republic;0.0;0.0;0.0;
(Rival);1.0;0.0;-1.0;
(Rulers;0.0;0.0;0.0;
(Tarrant);0.0;0.0;0.0;
(That;0.0;0.0;0.0;
(Theaetetus;0.0;0.0;0.0;
(Theaetetus).[107];0.0;0.0;0.0;
(Timée;0.0;0.0;0.0;
(Un;0.0;0.0;0.0;
(Warriors;0.0;0.0;0.0;
(Workers);1.0;0.0;-1.0;
(a);0.0;0.0;0.0;
(age;1.0;0.0;-1.0;
(ahora;0.0;0.0;0.0;
(aisthêsis);0.0;0.0;0.0;
(aitia);0.0;0.0;0.0;
(also);0.0;0.0;0.0;
(although;0.0;0.0;0.0;
(ananké);0.0;0.0;0.0;
(apeiron);0.0;0.0;0.0;
(après;0.0;0.0;0.0;
(aritmética;0.0;0.0;0.0;
(as;0.0;0.0;0.0;
(avec;0.0;0.0;0.0;
(b);0.0;0.0;0.0;
(begins;0.0;0.0;0.0;
(bobine;0.0;0.0;0.0;
(c);0.0;0.0;0.0;
(c.;0.0;0.0;0.0;
(cf.;0.0;0.0;0.0;
(d);0.0;0.0;0.0;
(daimon).;0.0;0.0;0.0;
(debido;0.0;0.0;0.0;
(del;0.0;0.0;0.0;
(deon);0.0;0.0;0.0;
(desambiguación).;0.0;0.0;0.0;
(disambiguation);0.0;0.0;0.0;
(disambiguation).;0.0;0.0;0.0;
(doxa).;0.0;0.0;0.0;
(drunkenness;0.0;0.0;0.0;
(due;0.0;0.0;0.0;
(en;0.0;0.0;0.0;
(en);0.0;0.0;0.0;
(en)136;0.0;0.0;0.0;
(en)Voir;0.0;0.0;0.0;
(episteme);0.0;0.0;0.0;
(epithumia);0.0;0.0;0.0;
(es;0.0;0.0;0.0;
(examples:;1.0;0.0;-1.0;
(faim;0.0;0.0;0.0;
(geometriké;0.0;0.0;0.0;
(given;0.0;0.0;0.0;
(grandson;0.0;0.0;0.0;
(h)oraton;0.0;0.0;0.0;
(homonymie);0.0;0.0;0.0;
(i.e.;0.0;0.0;0.0;
(in);0.0;0.0;0.0;
(inspiré;0.0;0.0;0.0;
(interrogation;0.0;0.0;0.0;
(ive;0.0;0.0;0.0;
(jusqu'à;0.0;0.0;0.0;
(kairion);0.0;0.0;0.0;
(l'Idée;0.0;0.0;0.0;
(la;0.0;0.0;0.0;
(left);0.0;0.0;0.0;
(madre;0.0;0.0;0.0;
(mainly;0.0;0.0;0.0;
(major);0.0;0.0;0.0;
(maturité;0.0;0.0;0.0;
(meixis);0.0;0.0;0.0;
(meson);0.0;0.0;0.0;
(minor);0.0;0.0;0.0;
(mère;0.0;0.0;0.0;
(no;0.0;0.0;0.0;
(nombre;0.0;0.0;0.0;
(non;0.0;0.0;0.0;
(noûs);0.0;0.0;0.0;
(noûs).;0.0;0.0;0.0;
(of;0.0;0.0;0.0;
(often;0.0;0.0;0.0;
(on;0.0;0.0;0.0;
(or;0.0;0.0;0.0;
(ou;0.0;0.0;0.0;
(particularmente;0.0;0.0;0.0;
(pathêmata);0.0;0.0;0.0;
(peras);0.0;0.0;0.0;
(personificado;0.0;0.0;0.0;
(philosophie).;0.0;0.0;0.0;
(politeia;0.0;0.0;0.0;
(politeia);0.0;0.0;0.0;
(por;0.0;0.0;0.0;
(prepon);0.0;0.0;0.0;
(presentes;0.0;0.0;0.0;
(presumably;0.0;0.0;0.0;
(pues;0.0;0.0;0.0;
(right);0.0;0.0;0.0;
(rule;0.0;0.0;0.0;
(se;0.0;0.0;0.0;
(secretas).;0.0;0.0;0.0;
(see;0.0;0.0;0.0;
(since;0.0;0.0;0.0;
(socrático;0.0;0.0;0.0;
(sometimes;0.0;0.0;0.0;
(the;0.0;0.0;0.0;
(there;0.0;0.0;0.0;
(thumos);0.0;0.0;0.0;
(traduction;0.0;0.0;0.0;
(varón);0.0;0.0;0.0;
(ver;0.0;0.0;0.0;
(vers;0.0;0.0;0.0;
(voir;0.0;0.0;0.0;
(vue;0.0;0.0;0.0;
(véanse;0.0;0.0;0.0;
(which;0.0;0.0;0.0;
(who;0.0;0.0;0.0;
(with;0.0;0.0;0.0;
(édité;-1.0;0.0;1.0;
(Égal;0.0;0.0;0.0;
(Πε�?ì;0.0;0.0;0.0;
(Πε�?ὶ;0.0;0.0;0.0;
(Πλάτων;0.0;0.0;0.0;
(άγ�?αφα;0.0;0.0;0.0;
(εἰκασία;0.0;0.0;0.0;
(εὖ;0.0;0.0;0.0;
(κοινωνία;0.0;0.0;0.0;
(σ�?μμιξις;0.0;0.0;0.0;
(τὸ;0.0;0.0;0.0;
(πλάτος;0.0;0.0;0.0;
(πλατ�?ς;0.0;0.0;0.0;
(πλατ�?της;0.0;0.0;0.0;
(ἡ;0.0;0.0;0.0;
(Ἀ�?ιστοκλῆς);0.0;0.0;0.0;
(ἄγ�?αφα;0.0;0.0;0.0;
(‡);1.0;0.0;-1.0;
(…);0.0;0.0;0.0;
-346;0.0;0.0;0.0;
-347;0.0;0.0;0.0;
-348;0.0;0.0;0.0;
-348/-347;0.0;0.0;0.0;
-350);0.0;0.0;0.0;
-360;0.0;0.0;0.0;
-360.;0.0;0.0;0.0;
-361;0.0;0.0;0.0;
-367;0.0;0.0;0.0;
-370;0.0;0.0;0.0;
-370);0.0;0.0;0.0;
-380;0.0;0.0;0.0;
-387;0.0;0.0;0.0;
-388;0.0;0.0;0.0;
-399.;0.0;0.0;0.0;
-403;0.0;0.0;0.0;
-404.;0.0;0.0;0.0;
-408.;0.0;0.0;0.0;
-428/-427;0.0;0.0;0.0;
-el;0.0;0.0;0.0;
-más;0.0;0.0;0.0;
-no;0.0;0.0;0.0;
-puesta;0.0;0.0;0.0;
...;0.0;0.0;0.0;
...No;0.0;0.0;0.0;
...one;0.0;0.0;0.0;
.17;0.0;0.0;0.0;
.[36];0.0;0.0;0.0;
.[38];0.0;0.0;0.0;
.[9];0.0;0.0;0.0;
1	Biografía;0.0;1.0;-1.0;
1	Biographie;0.0;0.0;0.0;
1	Biography;1.0;0.0;-1.0;
1.1	Early;0.0;0.0;0.0;
1.1	Jeunesse;0.0;0.0;0.0;
1.1.1	Birth;0.0;0.0;0.0;
1.1.2	Name;1.0;0.0;-1.0;
1.1.3	Education;1.0;0.0;-1.0;
1.2	La;0.0;0.0;0.0;
1.2	Later;1.0;0.0;-1.0;
1.3	Death;1.0;0.0;-1.0;
1.3	Platon;0.0;0.0;0.0;
1.4	La;0.0;0.0;0.0;
1.5	Les;0.0;0.0;0.0;
1.6	La;0.0;0.0;0.0;
1.7	Derniers;0.0;0.0;0.0;
10	Bibliographie;0.0;0.0;0.0;
10	Enlaces;0.0;1.0;-1.0;
10	External;1.0;0.0;-1.0;
10.;0.0;0.0;0.0;
10.1	Biographie;0.0;0.0;0.0;
10.2	Philosophie;0.0;0.0;0.0;
10.3	Études;0.0;0.0;0.0;
10.3.1	Ouvrages;0.0;0.0;0.0;
10.3.2	Sur;0.0;0.0;0.0;
10.3.3	Éthique;0.0;0.0;0.0;
10.4	Livres-audio;0.0;0.0;0.0;
10.5	Articles;0.0;0.0;0.0;
10.6	Liens;0.0;0.0;0.0;
10.6.1	Papyri;0.0;0.0;0.0;
10.6.2	Éditions;0.0;0.0;0.0;
10.6.3	Bibliographie;0.0;0.0;0.0;
10.6.4	Répertoires;0.0;0.0;0.0;
10.6.5	Articles;0.0;0.0;0.0;
10.6.6	Notices;0.0;0.0;0.0;
1025;0.0;0.0;0.0;
11.;0.0;0.0;0.0;
110;0.0;0.0;0.0;
1100;0.0;0.0;0.0;
118.;0.0;0.0;0.0;
12.;0.0;0.0;0.0;
120);0.0;0.0;0.0;
1260);0.0;0.0;0.0;
128.;0.0;0.0;0.0;
129.;0.0;0.0;0.0;
131.;0.0;0.0;0.0;
14.;0.0;0.0;0.0;
1438;0.0;0.0;0.0;
1453;0.0;0.0;0.0;
1484;0.0;0.0;0.0;
15.;0.0;0.0;0.0;
155.;0.0;0.0;0.0;
156a).;0.0;0.0;0.0;
1578;0.0;0.0;0.0;
16th-century;0.0;0.0;0.0;
1807;0.0;0.0;0.0;
1809.[123];0.0;0.0;0.0;
1873);0.0;0.0;0.0;
19.;0.0;0.0;0.0;
1900-1907;0.0;0.0;0.0;
1908);0.0;0.0;0.0;
1929).;0.0;0.0;0.0;
1930.[86];0.0;0.0;0.0;
1950;-1.0;0.0;1.0;
1987;0.0;0.0;0.0;
1993.[136][137];0.0;0.0;0.0;
1995;0.0;0.0;0.0;
1997;0.0;0.0;0.0;
19th;0.0;0.0;0.0;
1°;0.0;0.0;0.0;
2	Intellectual;1.0;-1.0;0.0;
2	Obra;0.0;1.0;-1.0;
